"cov01","cov02","cov04c","strata","no_urut","id_unique","gender","gender_text","education","education_text","date_submission_kur","record_reminder","sq02","sq03","sq04","sq05","ir01c","ir01d","ir01e","ir01f","ir02b","ir02c","ir03","ir03a","ir03a_w","ir03a_b","ir03a_c","ir03a_d","ir03a_v","ir05","ir05_tahun","ir06","ir06a","ir06a_w","ir06a_b","ir06a_c","ir06a_d","ir06a_e","ir06a_v","bi01b","bi01b_sector","bi01b_subsector","bi02x","bi02","bi02_repeat_count","bi03calc","bi04x","bi04","bi04_repeat_count","bi06","bi06_a","bi06_b","bi06_c","bi06_d","bi06_e","bi06_f","bi06_g","bi06_h","bi06_i","bi06_j","bi06_k","bi06_l","bi06_m","bi06_n","bi06_o","bi06_p","bi06_q","bi06_r","bi06_s","bi06_t","bi06_z","bi06_v","bi06_calc","bi06a","bi07","bi07_a","bi07_b","bi07_c","bi07_d","bi07_e","bi07_f","bi07_g","bi07_v","bi07_w","bi07_y","bi08a","bi08b","bi08b1","bi08b2","bi08b3","bi08b4","bi08b5","bi08b6","bi08b7","bi08b8","bi08b9","bi08_repeat_count","cl01x","cl01a","cl01b","cl02","cl02_a","cl02_b","cl02_c","cl02_d","cl02_e","cl02_f","cl02_g","cl02_h","cl02_i","cl02_j","cl02_v","cl02a","cl03_a","cl03_b","cl03_c","cl03_d","cl04ax","cl04a","cl04b_min","cl04b_max","cl04c","cl05ax","cl05a","cl05b_min","cl05b_max","cl05c","reserved_name_for_field_list_lab","cl06","cl07","cl08","cl09","cl10","cl11","bp01","bp02","bp03","bp04","bp05","bp06","bp07","bp08","bp09","bp10","we01_a","we01_b","we01_c","we01_d","ri01ax","ri01a","ri01b_min","ri01b_max","ri01c","ri02ax","ri02a","ri02b_min","ri02b_max","ri02c","fl01","v195","fl02a","fl02b","fl02c","fl02d","fl02e","fl02f","fl02g","fl02h","fl02i","fl02j","fl02k","fl02l","fl02m","fl02v","fl02_warn","fl02_calc","fl03a1","fl03a2","fl03b1","fl03b2","fl04","fl05","fl06","fl07x","fl07","fl08x","fl08","fl09","v226","rf01a","rf01b","rf01cc","rf01dd","rf01e","rf01f","rf01g","rf01h","rf01i","rf01j","rf01k","rf01l","rf01m","rf01n","rf01v","rf01_warn","rf01_calc","rf01a1","rf01a2","rf01b1","rf01b2","rf01c","rf01d","rf02","rf03","rf04","rf04_a","rf04_b","rf04_c","rf04_d","rf04_v","rf04_w","rf04_y","rf05_repeat_count","rf06","rf07x","rf07","rf08","rf09","rf10_period","rf10","rf10_percent","rf10_rupiah","rf11","rf11_rupiah","rf12","rf13","rf13_a","rf13_b","rf13_c","rf13_d","rf13_e","rf13_f","rf13a","rf13b","rf13c","rf13d","rf13e","rf13f","rf13_calc","rf14","rf14_a","rf14_b","rf14_c","rf14_d","rf14_e","rf14_f","rf14_g","rf14a","rf14b","rf14c","rf14d","rf14e","rf14f","rf14g","rf14_calc","rf15_group_count","rf16a","rf16b","rf16c","rf16d","rf16e","rf16f","rf16g","rf16h","rf16i","ke01","ke02","ke03","ke03_rupiah","ke04","ke05","ke05_a","ke05_b","ke05_c","ke05_d","ke05_e","ke05_v","ke06","ke07","ke08","ke09","ke10","ke11","ke12","ke12_a","ke12_b","ke12_c","ke12_d","ke12_v","ke12_w","ke13","ke13_a","ke13_b","ke13_c","ke13_d","ke13_e","ke13_f","ke13_g","ke13_v","co01","co02","co02_a","co02_b","co02_c","co02_d","co02_e","co02_v","co03","co04","co05","co05a","co05b","co06x","co06","co07","co08","co09","co09_a","co09_b","co09_c","co09_d","co09_e","co09_f","co09_v","co09a","co09b","co09c","co09d","co09e","co09f","co09v","co10","co11","co12","end_time","cov08","cov09","weight","sd","start_date","wgt","birth1","birth2","birth3","birth_month_year"
"NUSA TENGGARA BARAT","LOMBOK TIMUR",2,24,16,"S24_16",1,"MALE",1,"ELEMENTARY SCHOOL (SD)","10-03-2020","YA",1,1,1,3,1,96,7,1,,,"10-03-2020","W",1,0,0,0,0,1,,"03-03-2015","W",1,0,0,0,0,0,"CATTLE FARMING",1,14,1,2,2,100,1,1,1,"A B K",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,"A","G",0,0,0,0,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,1,3,1,1,3,1,0,0,1,1,25000000,,,,1,5000000,,,,"03-2020",,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,"K L M","K","L","L","M",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,"A            M N","N","M","A","N",50000000,1,1,1,,,,,,,,,1,2,1,100000000,24,1,1,1,0.200000002980232,,,,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A",1,0,0,0,0,0,0,100,0,0,0,0,0,0,100,4,1,1,3,3,3,1,3,3,3,2,2,1,300000,5,"A B C D E",1,1,1,1,1,0,1,1,3,1,95,1,"W",0,0,0,0,0,1,"A",1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14:02:05",1,,285.875,"03-03-2015",3/3/2015,286,"15","04","1987","041987"
"NUSA TENGGARA TIMUR","MANGGARAI",2,24,45,"S24_45",1,"MALE",2,"JUNIOR HIGH SCHOOL (SMP)","10-02-2020","YA",1,1,1,3,1,96,3,1,,,"10-02-2020","W",1,0,0,0,0,1,,"01-03-2010","W",1,0,0,0,0,0,"LOS SELLING ACCESSORIES IN A MARKET",47,478,1,1,1,100,1,1,1,"A K",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,"A","G",0,0,0,0,0,0,1,0,0,0,1,1,"RETAIL OF SHOES AND SLIPPERS IN MARKET",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,1,3,1,3,3,0,0,1,1,1,10000000,,,,1,5000000,,,,"02-2020",,1,3,3,3,3,3,3,3,3,3,3,1,1,3,3,"A           L M","A","M","A","M",1,1,30000000,1,10.6000003814697,1,30000000,1,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","N","AA","A","N",50000000,1,1,1,,,,,,,,,1,2,1,15000000,18,3,,,,,1,2900000,1,"A D",1,0,0,1,0,0,60,"0",0,40,0,0,100,"A D",1,0,0,1,0,0,0,60,0,0,40,0,0,0,100,4,3,3,1,3,3,1,3,3,3,1,1,3,,6,"A B C D E",1,1,1,1,1,0,1,1,98,1,96,1,"W",0,0,0,0,0,1,"E",0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15:48:30",1,,285.875,"01-03-2010",3/1/2010,286,"23","12","1989","121989"
"NUSA TENGGARA BARAT","LOMBOK TENGAH",2,24,75,"S24_75",1,"MALE",3,"SENIOR HIGH SCHOOL (SMA)","11-12-2019","YA",1,1,1,3,1,96,7,1,,,"11-12-2019","W",1,0,0,0,0,1,,"21-10-2019","W",1,0,0,0,0,0,"LIVING CHICKEN LIVESTOCK ",1,14,1,1,1,100,1,1,1,"A K",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,"A","B G",0,1,0,0,0,0,1,0,0,0,1,1,"CATTLE FARMING",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,1,3,3,0,1,1,2,1,30000000,,,,1,7000000,,,,"12-2019",,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,"K L M","K","L","K","L",3,,,,,1,17000000,11,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","N","A","A","N",150000000,1,1,1,,,,,,,,,1,2,1,600000000,36,1,1,1,0.699999988079071,,,,1,"A B",1,1,0,0,0,0,90,"10",0,0,0,0,100,"A B D",1,1,0,1,0,0,0,70,15,0,15,0,0,0,100,4,1,1,1,3,3,3,3,3,3,1,1,1,2000000,4,"B D E",0,1,0,1,1,0,1,1,1,1,96,1,"W",0,0,0,0,0,1,"A",1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12:14:46",1,,285.875,"21-10-2019",10/21/2019,286,"31","12","1992","121992"
"RIAU","DUMAI",2,33,156,"S33_156",2,"FEMALE",3,"SENIOR HIGH SCHOOL (SMA)","30-08-2018","YA",1,1,1,3,3,96,4,1,,,"30-08-2018","W",1,0,0,0,0,1,,"05-03-2013","W",1,0,0,0,0,0,"RICE CRACKERS PRODUCTION",10,107,1,1,1,100,1,1,1,"A K",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,"A","B",0,1,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,1,3,1,3,1,0,3,0,3,1,1000000,,,,1,500000,,,,"08-2018",,3,3,3,3,3,3,3,3,3,1,3,1,1,3,3,"J  L M","J","L","J","L",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,1,3,1,1,3,4,"A          K  M N","A","K","A","K",15000000,1,1,1,,,,,,,,,1,2,1,100000000,36,3,,,,,98,,1,"A B",1,1,0,0,0,0,40,"60",0,0,0,0,100,"A B F",1,1,0,0,0,1,0,30,50,0,0,0,20,0,100,4,3,3,3,1,3,3,3,3,3,4,1,1,98,5,"A B C D E",1,1,1,1,1,0,1,1,1,1,6,1,"W",0,0,0,0,0,1,"D",0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14:43:51",1,,3337.6875,"05-03-2013",3/5/2013,3338,"11","07","1982","071982"
"SUMATERA UTARA","ASAHAN",2,38,226,"S38_226",1,"MALE",1,"ELEMENTARY SCHOOL (SD)","05-04-2019","YA",1,1,1,3,1,96,5,1,,,"05-04-2019","W",1,0,0,0,0,1,,"01-01-2013","W",1,0,0,0,0,0,"PALM OIL PLANTATION",1,12,1,1,1,100,1,1,1,"A K",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,"A","G",0,0,0,0,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,1,3,3,3,1,0,6,0,6,1,8500000,,,,1,7500000,,,,"04-2019",,1,1,3,3,1,3,1,3,1,3,3,1,1,3,7,"A B   E  G  I   L M","A","AA","M","I",1,1,50000000,1,40,1,50000000,1,,1,3,1,3,3,3,3,3,3,3,3,3,3,1,3,3,"A  C           N","A","AA","A","N",50000000,1,2,2,,,,,,,,,2,2,1,230000000,60,3,,,,,1,966000,96,"A B",1,1,0,0,0,0,50,"50",0,0,0,0,100,"A B G",1,1,0,0,0,0,1,25,50,0,0,0,0,25,100,4,3,3,3,96,96,96,96,96,96,1,2,3,,3,"A D E",1,0,0,1,1,0,3,1,98,1,96,1,"A",1,0,0,0,0,0,"B",0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09:07:14",1,,6339.873046875,"01-01-2013",1/1/2013,6340,"13","06","1973","061973"
"ACEH","ACEH TENGGARA",2,38,227,"S38_227",1,"MALE",1,"ELEMENTARY SCHOOL (SD)","06-04-2019","YA",1,1,1,3,1,96,7,1,,,"06-04-2019","W",1,0,0,0,0,1,,"08-07-2013","W",1,0,0,0,0,0,"CHICKEN LIVESTOCK",1,14,1,1,1,100,1,1,1,"A K Z",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,"A","W",0,0,0,0,0,0,0,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,1,3,1,3,1,0,0,0,0,1,7000000,,,,1,5500000,,,,"04-2019",,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,"L","L","AA","L","AA",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,2,"A            M","A","M","A","M",25000000,1,2,2,,,,,,,,,2,3,1,100000000,18,3,,,,,1,1500000,1,"A B",1,1,0,0,0,0,50,"50",0,0,0,0,100,"A B",1,1,0,0,0,0,0,50,50,0,0,0,0,0,100,4,1,3,3,3,3,3,3,3,3,1,2,1,42000,3,"A D E",1,0,0,1,1,0,1,1,98,1,3,1,"A B",1,1,0,0,0,0,"D",0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09:39:03",1,,6339.873046875,"08-07-2013",7/8/2013,6340,"18","08","1991","081991"
"ACEH","SIMEULUE",2,38,229,"S38_229",1,"MALE",2,"JUNIOR HIGH SCHOOL (SMP)","03-05-2017","YA",1,1,1,3,1,96,3,1,,,"03-05-2017","W",1,0,0,0,0,1,,"23-02-2017","W",1,0,0,0,0,0,"MANUFACTURING OF HOUSEHOLD FURNITURE FROM WOOD: CUPBOARDS, WINDOWS, TABLES",31,310,1,1,1,100,1,1,1,"A K",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,"A","G",0,0,0,0,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,1,1,3,1,3,1,0,2,0,2,1,4500000,,,,1,1000000,,,,"05-2017",,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,"L","W","AA","L","AA",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,"A            M N","A","M","N","A",10000000,1,2,1,"D",0,0,0,1,0,0,0,1,2,1,35000000,24,3,,,,,1,475000,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A B F",1,1,0,0,0,1,0,40,40,0,0,0,20,0,100,4,3,1,3,3,3,3,3,3,3,1,2,3,,3,"A D E",1,0,0,1,1,0,3,3,1,1,5,1,"W",0,0,0,0,0,1,"F",0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10:19:27",1,,6339.873046875,"23-02-2017",2/23/2017,6340,"14","03","1981","031981"
"SUMATERA SELATAN","OGAN KOMERING ULU TIMUR",2,38,344,"S38_344",1,"MALE",2,"JUNIOR HIGH SCHOOL (SMP)","24-11-2017","YA",1,1,1,3,1,96,3,1,,,"24-11-2017","W",1,0,0,0,0,1,,"11-09-2004","C",0,0,1,0,0,0,"RUBBER TREES PLANTATION",1,12,1,1,1,100,1,2,2,"Z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,"G",0,0,0,0,0,0,1,0,0,0,1,1,"SELLING ELECTRICITY TOP UP ",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,3,3,3,3,1,0,1,0,1,1,8000000,,,,1,1200000,,,,"11-2017",,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,"M","W","AA","M","AA",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","W","AA","N","A",25000000,1,1,1,,,,,,,,,1,2,1,100000000,24,3,,,,,1,1140000,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A F",1,0,0,0,0,1,0,5,0,0,0,0,95,0,100,4,3,3,1,3,3,3,3,3,3,1,1,1,200000,3,"A D E",1,0,0,1,1,0,1,1,1,1,96,1,"W",0,0,0,0,0,1,"E F",0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11:19:03",1,,6339.873046875,"11-09-2004",9/11/2004,6340,"01","07","1968","071968"
"RIAU","KAMPAR",2,38,345,"S38_345",1,"MALE",1,"ELEMENTARY SCHOOL (SD)","24-07-2019","YA",1,1,1,3,1,96,4,1,,,"24-07-2019","W",1,0,0,0,0,1,,"16-09-2015","C",0,0,1,0,0,0,"FOOD STALL ON SNACKS",56,561,1,2,2,100,1,2,2,"A B K L",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,"K","G",0,0,0,0,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,3,3,1,3,1,0,0,0,0,1,1200000,,,,1,750000,,,,"09-2019",,3,3,3,3,3,3,3,3,3,1,3,1,3,3,2,"J  L","L","AA","L","J",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,"A","W","AA","A","AA",25000000,1,1,1,,,,,,,,,1,2,1,21500000,36,3,,,,,1,800000,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A F",1,0,0,0,0,1,0,75,0,0,0,0,25,0,100,4,3,1,3,3,1,3,3,3,3,1,2,3,,3,"A D E",1,0,0,1,1,0,1,98,98,1,96,1,"W",0,0,0,0,0,1,"F",0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12:00:24",1,,6339.873046875,"16-09-2015",9/16/2015,6340,"10","10","1979","101979"
"LAMPUNG","METRO",2,38,355,"S38_355",1,"MALE",1,"ELEMENTARY SCHOOL (SD)","30-05-2019","YA",1,1,1,1,1,96,3,96,,,"30-05-2019","W",1,0,0,0,0,3,2020,"25-04-2019","C",0,0,1,0,0,0,"GROCERIES STORE (SEMBAKO)",47,471,1,1,1,100,1,1,1,"A K",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,"A","W",0,0,0,0,0,0,0,0,1,0,1,3,"FOOD STALL SELLING FRIED FOODS","FOOD STALL SELLING OF MARTABAK","FOOD STALL OF CHOCOLATE BANANAS",,,,,,,3,1,"AUG, 2020",1,"E G",0,0,0,0,1,0,1,0,0,0,0,"E",0,0,0,0,1,500000,,,,1,0,,,,,3,3,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,"05-2019",,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,"L","W","AA","L","AA",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,"A","W","AA","A","AA",20000000,1,1,1,,,,,,,,,1,2,1,100000000,24,3,,,,,1,1130000,1,"A B",1,1,0,0,0,0,50,"50",0,0,0,0,100,"A B",1,1,0,0,0,0,0,50,50,0,0,0,0,0,100,4,3,3,1,3,3,1,3,3,1,1,2,3,,3,"A D E",1,0,0,1,1,0,3,98,98,1,96,1,"W",0,0,0,0,0,1,"A",1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13:26:58",1,,6339.873046875,"25-04-2019",4/25/2019,6340,"26","06","1958","061958"
"SUMATERA UTARA","DAIRI",2,38,357,"S38_357",1,"MALE",3,"SENIOR HIGH SCHOOL (SMA)","06-12-2017","YA",1,1,1,3,1,96,5,96,,,"06-12-2017","W",1,0,0,0,0,1,,"22-11-2017","W",1,0,0,0,0,0,"AGRICULTURE ON BANANA, DURIAN, MANGOSTEEN ",1,12,1,1,1,100,1,1,1,"A K Z",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,"A","W",0,0,0,0,0,0,0,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,3,3,3,3,3,0,2,0,2,1,2000000,,,,1,1950000,,,,"12-2017",,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,"V","W","AA","V","AA",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","A","AA","N","AA",25000000,1,1,1,,,,,,,,,1,2,1,200000000,24,3,,,,,98,,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"B F",0,1,0,0,0,1,0,0,75,0,0,0,25,0,100,4,1,3,1,3,3,3,3,3,3,2,2,3,,3,"A D E",1,0,0,1,1,0,3,1,98,1,98,1,"W",0,0,0,0,0,1,"D",0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14:37:20",1,,6339.873046875,"22-11-2017",11/22/2017,6340,"06","10","1961","101961"
"LAMPUNG","WAY KANAN",2,36,13,"S36_13",1,"MALE",6,"OTHER  ____________","26-04-2019","YA",1,1,1,3,1,96,3,95,,,"26-04-2019","W",1,0,0,0,0,1,,"24-04-2010","W",1,0,0,0,0,0,"FOOD STALL MEATBALLS AND CHICKEN NOODLE ",56,561,1,1,1,100,1,1,1,"A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,"C F G",0,0,1,0,0,1,1,0,0,0,1,1,"RETAIL OF CLOTHES IN A KIOSK NEXT TO THE MEATBALLS AND CHICKEN NOODLES KIOSK",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,1,3,1,3,3,1,0,2,3,1,24000000,,,,1,6000000,,,,"04-2017",,3,3,3,3,3,3,3,3,3,3,3,1,1,3,2,"L M","M","L","M","L",3,,,,,96,,,,1,3,3,3,1,3,3,3,3,3,3,3,1,1,3,4,"A    E        M N","E","N","A","N",50000000,1,2,2,,,,,,,,,2,2,1,100000000,24,3,,,,,1,2248000,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A B",1,1,0,0,0,0,0,50,50,0,0,0,0,0,100,4,3,3,1,3,3,1,3,3,3,1,2,3,,4,"A B D E",1,1,0,1,1,0,1,1,1,1,96,1,"A B",1,1,0,0,0,0,"A",1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09:03:57",1,,5822.9443359375,"24-04-2010",4/24/2010,5823,"27","10","1969","101969"
"LAMPUNG","LAMPUNG TENGAH",2,40,12,"S40_12",1,"MALE",3,"SENIOR HIGH SCHOOL (SMA)","02-05-2018","YA",1,1,1,3,1,96,5,96,,,"02-05-2018","W",1,0,0,0,0,1,,"01-01-2015","W",1,0,0,0,0,0,"GROCERIES STORE (SEMBAKO)",47,471,1,1,1,100,1,1,1,"A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,"C F",0,0,1,0,0,1,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,1,3,1,3,1,0,0,2,2,1,8000000,,,,1,500000,,,,"05-2018",,3,3,3,3,3,3,3,3,3,3,1,3,1,3,2,"K  M","K","AA","M","K",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","A","N","A","N",200000000,1,1,1,,,,,,,,,1,2,1,400000000,36,1,1,1,0.400000005960464,,,,96,"A B",1,1,0,0,0,0,80,"20",0,0,0,0,100,"A B",1,1,0,0,0,0,0,80,20,0,0,0,0,0,100,4,3,3,3,96,96,96,1,3,3,1,2,3,,4,"A B D E",1,1,0,1,1,0,1,3,3,1,95,1,"W",0,0,0,0,0,1,"A",1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07:53:27",1,,1112.4375,"01-01-2015",1/1/2015,1112,"18","08","1996","081996"
"JAMBI","MERANGIN",2,35,11,"S35_11",2,"FEMALE",2,"JUNIOR HIGH SCHOOL (SMP)","12-12-2017","YA",1,1,1,3,3,96,4,96,,,"12-12-2017","W",1,0,0,0,0,1,,"24-01-2008","W",1,0,0,0,0,0,"KIOSK SELLING CHICKEN MEATS AT HOME ",47,472,1,1,1,100,1,1,1,"A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,"G",0,0,0,0,0,0,1,0,0,0,1,1,"PALM OIL PLANTATION",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,1,3,1,3,1,0,2,0,2,1,8750000,,,,1,1000000,,,,"98-2014",,3,1,3,3,3,3,3,3,3,3,3,1,1,3,3,"B          L M","L","M","L","M",1,1,3000000,98,,1,3000000,2,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","N","AA","N","A",250000000,1,3,3,,,,,,,,,3,2,1,200000000,36,1,2,1,0.300000011920929,,,,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A F",1,0,0,0,0,1,0,50,0,0,0,0,50,0,100,4,3,3,1,1,3,1,3,3,3,1,2,3,,4,"A D E",1,0,0,1,1,0,3,1,3,5,96,1,"A",1,0,0,0,0,0,"A",1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10:06:51",1,,4740.625,"24-01-2008",1/24/2008,4741,"02","11","1978","111978"
"KEP. BANGKA BELITUNG","BANGKA SELATAN",2,35,12,"S35_12",2,"FEMALE",3,"SENIOR HIGH SCHOOL (SMA)","07-08-2019","YA",1,1,1,3,3,96,5,96,,,"07-08-2019","W",1,0,0,0,0,1,,"16-01-2011","W",1,0,0,0,0,0,"SEMBAKO RETAIL IN THE STORE",47,471,1,2,2,100,1,2,2,"A L",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,"L","F",0,0,0,0,0,1,0,0,0,0,1,1,"ONLINE CLOTHES STORE",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,1,3,3,3,1,3,1,1,0,2,3,1,10000000,,,,1,1000000,,,,"08-2019",,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,"L M V","L","V","V","M",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,"A            M N","M","N","A","N",200000000,1,1,1,,,,,,,,,1,2,1,300000000,36,3,,,,,1,2600000,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A",1,0,0,0,0,0,0,100,0,0,0,0,0,0,100,4,3,3,1,3,3,1,3,3,3,1,2,3,,5,"A B D E",1,1,0,1,1,0,1,3,98,1,96,1,"W",0,0,0,0,0,1,"E",0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10:50:04",1,,4740.625,"16-01-2011",1/16/2011,4741,"25","04","1979","041979"
"SUMATERA SELATAN","LUBUK LINGGAU",2,35,30,"S35_30",2,"FEMALE",3,"SENIOR HIGH SCHOOL (SMA)","16-12-2019","YA",1,1,1,3,3,96,7,1,,,"16-12-2019","W",1,0,0,0,0,1,,"01-01-2010","W",1,0,0,0,0,0,"TEMPE PRODUCTION INDUSTRY ",10,103,1,2,2,100,1,2,2,"A L",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,"L","G",0,0,0,0,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,3,1,3,3,3,1,0,0,1,1,1,3000000,,,,1,1800000,,,,"12-2019",,3,3,3,3,3,3,3,3,3,3,3,1,1,3,2,"L M","M","L","M","AA",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,"A            M N","A","N","A","N",150000000,1,1,1,,,,,,,,,1,2,98,,48,1,2,1,0.699999988079071,,,,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A B",1,1,0,0,0,0,0,40,60,0,0,0,0,0,100,4,3,3,3,3,3,3,3,3,3,1,3,1,3000000,6,"A B E",1,1,0,0,1,0,1,1,3,1,96,1,"W",0,0,0,0,0,1,"A F",1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12:07:04",1,,4740.625,"01-01-2010",1/1/2010,4741,"15","09","1986","091986"
